dataset,epsilon,profile,mean_pairwise_jaccard,intersection_count,union_count,selected_in_at_least_two_count,minimum_replacement_margin,mean_selected_edge_dimension
acs,0.1,total_excess,0.32107843137254904,7,41,18,1.0704637942883153,1.0
acs,0.1,null_standardized,0.32107843137254904,7,41,18,0.7569322079559413,1.0
acs,0.3,total_excess,0.5429679701092381,13,33,20,0.4530543143855539,1.0
acs,0.3,null_standardized,0.5429679701092381,13,33,20,0.32035777794772,1.0
adult,0.1,total_excess,0.8666666666666667,12,15,15,2.3712622544144324,359.2857142857143
adult,0.1,null_standardized,0.3353535353535353,5,26,11,0.05226367011681532,172.35714285714286
adult,0.3,total_excess,1.0,14,14,14,293.7407656932028,377.14285714285717
adult,0.3,null_standardized,0.5860566448801744,9,20,13,1.0898079164333723,179.40476190476193
br2000,0.1,total_excess,0.6292483660130719,9,18,12,4.466520403964978,59.230769230769226
br2000,0.1,null_standardized,0.3709551656920078,5,23,11,0.17645202785962866,7.615384615384616
br2000,0.3,total_excess,0.8158730158730158,11,15,13,11.23432264641201,59.28205128205129
br2000,0.3,null_standardized,0.7384920634920635,10,16,13,0.2903589360712715,7.230769230769231
nltcs,0.1,total_excess,0.4372888743598126,6,24,15,2.299185759113044,1.0
nltcs,0.1,null_standardized,0.4372888743598126,6,24,15,1.6257698414763695,1.0
nltcs,0.3,total_excess,0.6145510835913313,10,21,14,10.81420009703038,1.0
nltcs,0.3,null_standardized,0.6145510835913313,10,21,14,7.646794221718437,1.0
